"year","user_login","n_days","n_spp","n_obs"
"2016","blackfyre",2,2,2
"2016","blackgoose",8,8,9
"2016","blackholesonnenschein",1,0,1
"2016","blackhound",4,4,4
"2016","blackislebennet",2,2,2
"2016","blackittycat",1,0,1
"2016","blackjackbones",9,15,15
"2016","blackjohn",2,5,5
"2016","blacklandprairiesorg",1,14,17
"2016","blacklotus18",1,1,1
"2016","blackman907",6,8,11
"2016","blackmountainlibrary",9,13,16
"2016","blacknosedace570",7,7,9
"2016","blackops2",1,11,11
"2016","blackowl",25,31,33
"2016","blackpeter",1,1,1
"2016","blackriverbrat",4,4,5
"2016","blackscoter",9,50,53
"2016","blacksheep509",1,1,1
"2016","blackswampconservancy",1,1,1
"2016","blackwaterred",2,2,2
"2016","blackwolf6663",4,4,5
"2016","blackychan",1,7,10
"2016","bladetwinswords",1,1,1
"2016","bladner19",1,1,2
"2016","bladyexko",19,18,21
"2016","blaine4",1,1,1
"2016","blaineeaton",10,7,10
"2016","blainelandsborough",2,4,5
"2016","blainemershon",2,16,17
"2016","blair4",1,1,1
"2016","blair6",1,1,1
"2016","blair_mitchell7",1,4,4
"2016","blairlibby",1,1,1
"2016","blairm",2,3,4
"2016","blairsmith",4,5,5
"2016","blaise2",3,35,38
"2016","blaise3",3,3,3
"2016","blake10",5,11,12
"2016","blake3",1,1,1
"2016","blake4",7,10,11
"2016","blake5",3,4,13
"2016","blake8",2,3,3
"2016","blake_stringfellow",1,1,1
"2016","blake_trahan",1,1,1
"2016","blakeamat11",1,2,2
"2016","blakeforbes",2,3,3
"2016","blakefrost",1,5,5
"2016","blakegoll",1,10,10
"2016","blakek",18,19,52
"2016","blakeleinart",1,2,2
"2016","blakeleslie",10,3,10
"2016","blakepope",1,1,1
"2016","blakesasse",2,2,2
"2016","blakesito",129,386,1409
"2016","blakethomas",5,18,41
"2016","blakeweis",71,109,117
"2016","blakewilliam",1,0,1
"2016","blambert",7,8,9
"2016","blanca4",1,1,1
"2016","blanca5",5,5,5
"2016","blanca_morfin",25,40,44
"2016","blanca_zapata",5,14,14
"2016","blancaceciliaflores",1,1,1
"2016","blancadog",3,3,3
"2016","blancaestelacorrea",3,7,7
"2016","blancagl",1,1,1
"2016","blancaro",1,2,2
"2016","blancavera",1,8,9
"2016","blancheherr",2,2,2
"2016","blancherp",16,19,23
"2016","blancheslaterrastetter",1,1,1
"2016","bland3",3,0,5
"2016","blandkm",2,4,12
"2016","blane14",2,2,2
"2016","blanka",2,2,2
"2016","blankplank21",8,49,53
"2016","blanks",3,0,4
"2016","blankstairs",2,2,3
"2016","blanton4h",1,9,9
"2016","blantonassociates",1,1,1
"2016","blaraw6",1,2,3
"2016","blash",6,7,7
"2016","blasman",2,5,8
"2016","blastedparakeets",1,1,1
"2016","blastoise",1,3,3
"2016","blatz18303",5,7,7
"2016","blaugo",3,3,3
"2016","blawson",24,37,45
"2016","blayklee",1,1,1
"2016","blaze2002",1,4,4
"2016","blazeclaw",17,31,38
"2016","blazingradiance1",1,1,1
"2016","blbauer82",1,1,1
"2016","blc9340",1,1,1
"2016","blcomegys",18,31,40
"2016","bldc425",2,2,2
"2016","bleedhoyablue",1,1,4
"2016","bleemallory",1,1,1
"2016","blehky",2,1,2
"2016","bleicher",6,6,6
"2016","blenn647",2,3,3
"2016","bleppo",1,1,1
"2016","blessedbrenda",1,1,1
"2016","bleu86",1,1,1
"2016","bleuskie",1,6,6
"2016","blevine",79,129,256
"2016","blewissmith",1,5,5
"2016","blfoord",1,1,1
"2016","blibba",1,1,1
"2016","bliera",1,0,1
"2016","blimones17",2,1,5
"2016","blindowl",2,2,2
"2016","blindwall",2,2,2
"2016","blinera",1,3,3
"2016","blinky",4,4,4
"2016","blintz",1,1,1
"2016","blissbee",2,2,2
"2016","blissedouttuna",1,15,16
"2016","blisseth",11,15,20
"2016","blithecicada",2,5,5
"2016","blitton",1,1,1
"2016","blitz",2,44,73
"2016","blitzbadger",1,1,1
"2016","blitzen1986",28,77,83
"2016","blitzthebear1",2,136,277
"2016","blitzthebear2",2,33,38
"2016","blitzthebear3",2,65,98
"2016","blkillin",24,32,33
"2016","blklab",70,108,166
"2016","bll634",29,35,41
"2016","blloveless",4,4,4
"2016","blm687",1,1,1
"2016","blo",1,0,1
"2016","blobfish",1,1,1
"2016","blockhead",1,10,10
"2016","blocky",2,3,3
"2016","bloempje",1,1,1
"2016","blom",2,2,2
"2016","blommer22",1,1,1
"2016","blondeadventures",1,1,1
"2016","blondewedge",1,1,1
"2016","bloodbaby",1,0,1
"2016","bloodninja001",1,0,1
"2016","bloofer",1,11,13
"2016","blooms4mygarden",4,5,5
"2016","bloop1",2,1,2
"2016","blooper87",1,1,1
"2016","bloostar",33,191,252
"2016","bloozewulf",1,4,4
"2016","blossomflower",1,1,1
"2016","blossomm",3,15,16
"2016","blostetter",1,1,1
"2016","blouie27",1,2,2
"2016","blouthomp",1,1,1
"2016","blove",12,19,22
"2016","blowen123",1,4,7
"2016","blowry47",1,2,2
"2016","blpetersen",4,69,86
"2016","blps14",1,17,21
"2016","blr",13,16,17
"2016","blrmsn",1,1,1
"2016","blrtahoe",1,1,1
"2016","blsaenz",1,1,1
"2016","bltnature",1,1,1
"2016","blubayou",135,718,1005
"2016","blubbergod",1,1,1
"2016","blubird",2,2,7
"2016","blubrdlvr",10,11,11
"2016","bludwar",1,1,1
"2016","blue",2,10,10
"2016","blue-planet",2,2,2
"2016","blue7",9,1,52
"2016","blue_celery",14,15,15
"2016","blue_river-0610",1,1,1
"2016","bluealopex",14,14,15
"2016","blueandgray",4,6,6
"2016","bluearcharios",1,0,3
"2016","bluebaron14",2,2,2
"2016","bluebeetle",2,5,5
"2016","bluebell101",1,1,1
"2016","bluebellicecream_17",7,2,7
"2016","bluebird101",57,401,532
"2016","bluebird215",1,1,1
"2016","bluebird36088",2,2,2
"2016","bluebird81",24,23,29
"2016","bluebonnetbigfoot",1,1,1
"2016","bluebonnetblues",1,0,1
"2016","bluecowrie",1,1,1
"2016","bluecoyote",1,1,1
"2016","bluecrab2",18,55,62
"2016","bluedamselfly",1,0,2
"2016","bluedragonfly",1,1,1
"2016","blueeagle73in",84,237,282
"2016","blueflag_iris",3,6,6
"2016","bluegill",11,23,23
"2016","bluehamster",1,1,1
"2016","bluehenag",9,11,12
"2016","blueheron",1,2,2
"2016","blueheron64",6,5,6
"2016","bluehillheritagetrust",1,7,7
"2016","bluehippo",1,1,1
"2016","bluehued",4,8,8
"2016","blueiris222",1,14,14
"2016","bluej",2,2,2
"2016","bluejay",1,1,1
"2016","bluejay2007",1,1,1
"2016","bluejaye",1,1,1
"2016","bluekiteyu",1,0,1
"2016","bluelfsucculents",18,49,81
"2016","bluelight2112",4,4,4
"2016","bluelily",1,1,1
"2016","bluelmo55",5,7,7
"2016","bluemichelle713",6,7,8
"2016","bluemtngirl",1,2,3
"2016","blueragemonkey",2,2,2
"2016","blueridge_bluebell",8,8,8
"2016","blueringedoctopus1",18,55,59
"2016","bluerose",1,1,1
"2016","blues",5,8,9
"2016","bluesage",15,22,27
"2016","bluesarracenia",34,139,164
"2016","blueshark978",3,4,4
"2016","blueskin",1,1,1
"2016","blueskys97",1,1,1
"2016","blueskyskl",1,1,1
"2016","bluespruce",1,1,1
"2016","bluetemple",1,1,1
"2016","bluetop",1,1,1
"2016","bluetouch",1,1,1
"2016","bluets15",68,154,219
"2016","blueturtle",5,6,6
"2016","bluevalhalla",48,123,180
"2016","blueyes22676",1,1,2
"2016","blugo",2,13,13
"2016","bluharon",6,6,6
"2016","bluheron",1,1,1
"2016","bluheron166",1,1,1
"2016","blujayonthewing",5,31,33
"2016","blujohn33",2,2,2
"2016","bluman",2,6,6
"2016","blumount",1,1,1
"2016","blushirt",68,110,142
"2016","blustar",1,1,1
"2016","blustbe",1,1,1
"2016","blustm",2,2,2
"2016","blwilson48",1,1,1
"2016","blwolfe",1,1,1
"2016","blythewparks",1,1,1
"2016","bm100",1,1,1
"2016","bmackay",3,1,4
"2016","bmagness",1,2,2
"2016","bmagnus",1,1,1
"2016","bman3000",4,5,5
"2016","bmanjones",2,3,3
"2016","bmarth",1,3,3
"2016","bmarti66",1,5,5
"2016","bmaruna",1,1,1
"2016","bmaston61",2,2,2
"2016","bmatap",4,8,8
"2016","bmauffrey",1,0,1
"2016","bmaur22",1,2,3
"2016","bmaxell",1,1,1
"2016","bmccabe09",1,1,1
"2016","bmccornack",2,2,2
"2016","bmcf",1,1,1
"2016","bmcpherson",1,1,1
"2016","bmdrahota",3,4,5
"2016","bmduggan",7,12,12
"2016","bme_kid",1,1,1
"2016","bmearns",1,1,1
"2016","bmedlock43",1,1,1
"2016","bmel12",6,25,28
"2016","bmellin",1,2,3
"2016","bmenlove",3,17,22
"2016","bmeuth",1,1,1
"2016","bmgriffin",1,1,1
"2016","bmguerrero",1,1,1
"2016","bmhovater",1,1,1
"2016","bmingham",1,1,2
"2016","bmk",2,2,2
"2016","bmlocke",1,1,1
"2016","bmmb1barbara",1,1,1
"2016","bmooney",1,1,1
"2016","bmoore",5,5,6
"2016","bmoore138",2,9,10
"2016","bmorte",1,2,2
"2016","bmpaw",2,2,2
"2016","bmpiepenburg",14,62,77
"2016","bms112",2,17,17
"2016","bmsalvadorrodriguez",4,15,15
"2016","bmtomotani",4,4,4
"2016","bmuller",7,42,46
"2016","bmunson",1,2,2
"2016","bmur88",1,1,1
"2016","bmurph22",1,2,2
"2016","bmvig",35,69,78
"2016","bmwv",6,9,11
"2016","bmyatt3",1,7,7
"2016","bncharlton",1,2,2
"2016","bndicte",1,1,1
"2016","bnearhood",12,29,32
"2016","bnedilsky",1,3,4
"2016","bnelson87",1,1,1
"2016","bnewman",1,1,1
"2016","bnh2657",1,0,3
"2016","bnhoffmn",9,10,11
"2016","bnicholas",3,4,5
"2016","bningalegratorres",1,1,1
"2016","bnmqw",5,5,5
"2016","bnoelmarinebio",1,20,20
"2016","bnolasco",1,8,8
"2016","bnorwood",2,2,2
"2016","bnwech",11,78,84
"2016","bnwhite",1,1,1
"2016","bnyman",2,3,3
"2016","bo130",1,1,1
"2016","bo1970",1,1,1
"2016","bo2",1,1,1
"2016","bo3",1,10,12
"2016","bo4",1,1,2
"2016","boabernethy",32,148,236
"2016","boatbirder",15,27,28
"2016","boatrightlaural",1,6,10
"2016","boazalailima",1,2,2
"2016","bob-dodge",24,46,49
"2016","bob-gatez",1,0,1
"2016","bob-leo",3,3,7
"2016","bob109",2,2,2
"2016","bob11",52,193,279
"2016","bob116",1,1,1
"2016","bob15noble",150,330,425
"2016","bob16",5,6,6
"2016","bob22",1,1,1
"2016","bob23",1,1,1
"2016","bob24",1,1,1
"2016","bob301",5,7,7
"2016","bob31",1,1,1
"2016","bob32",3,1,3
"2016","bob35",1,1,1
"2016","bob36",16,12,19
"2016","bob38",1,1,1
"2016","bob39",1,1,1
"2016","bob4055",1,0,1
"2016","bob42",1,1,1
"2016","bob43",1,1,1
"2016","bob43071",3,3,3
"2016","bob47",1,1,2
"2016","bob50",1,1,1
"2016","bob55",1,1,1
"2016","bob58",2,2,2
"2016","bob64",1,1,1
"2016","bob73",7,8,8
"2016","bob777",142,1525,3245
"2016","bob7871",2,2,2
"2016","bob_connelly",7,10,11
"2016","bob_jarrett",1,1,1
"2016","bob_lablaw28",2,1,3
"2016","bob_p",3,7,7
"2016","bob_the_biologist",4,23,27
"2016","bobasil",3,3,3
"2016","bobasquith2",1,0,39
"2016","bobathome83",2,3,3
"2016","bobatkinson",1,1,1
"2016","bobbe",4,5,6
"2016","bobbi",1,1,1
"2016","bobbibh",7,41,58
"2016","bobbic",7,23,24
"2016","bobbie2",1,0,1
"2016","bobbie5",1,1,1
"2016","bobbie6",2,2,2
"2016","bobbiec",1,1,3
"2016","bobbieh",2,2,2
"2016","bobbiejo",4,5,5
"2016","bobbiejowilt",1,1,1
"2016","bobbieof5",1,1,2
"2016","bobbig",2,2,2
"2016","bobboyd",1,1,1
"2016","bobbuehler",3,3,4
"2016","bobby12",1,1,1
"2016","bobby14",1,1,1
"2016","bobby15",1,1,1
"2016","bobby23",23,24,28
"2016","bobby4",3,3,3
"2016","bobby5",1,1,2
"2016","bobby7",1,1,1
"2016","bobby923",7,10,14
"2016","bobbyarjun",1,1,1
"2016","bobbybenjamino",2,19,19
"2016","bobbybino",1,1,1
"2016","bobbybrown",1,0,1
"2016","bobbycat",1,0,1
"2016","bobbyeslick",1,4,5
"2016","bobbyfingers",2,2,2
"2016","bobbyg",3,7,9
"2016","bobbyj1",1,1,1
"2016","bobbyjcastillo",1,1,1
"2016","bobbyk",3,4,4
"2016","bobbyk123",1,0,3
"2016","bobbyplant9",22,32,32
"2016","bobbyterry",1,1,1
"2016","bobbytjr",1,1,1
"2016","bobbytoo2",8,8,9
"2016","bobbywilliams",1,0,1
"2016","bobcat55",1,1,1
"2016","bobcatbrad",4,6,6
"2016","bobcatdad16",8,11,11
"2016","bobcatman1",1,1,1
"2016","bobcc",5,5,6
"2016","bobcorr",3,3,3
"2016","bobd",3,14,15
"2016","bobd3",1,1,1
"2016","bobdavisson",1,1,1
"2016","bobdebilder",1,1,3
"2016","bobdekay",1,1,3
"2016","bobdeloyd",1,1,1
"2016","bobermay",31,169,205
"2016","bobeto",1,1,1
"2016","bobfaucett",1,1,1
"2016","bobgaffga",2,2,2
"2016","bobginaz",2,2,2
"2016","bobgriffis",1,4,4
"2016","bobh",1,4,4
"2016","bobhyphenoh",1,1,1
"2016","bobi1",5,18,20
"2016","bobinmt",11,42,45
"2016","bobio14fall2016pcc",7,26,27
"2016","bobjobin",7,8,8
"2016","bobkat",6,6,6
"2016","boblange",4,14,14
"2016","boblathrop",1,1,1
"2016","bobles",4,6,7
"2016","bobmadison",3,5,5
"2016","bobmartin",3,1,3
"2016","bobmcd",18,81,124
"2016","bobmeyers",1,1,1
"2016","bobmoore",2,2,2
"2016","bobmot",1,1,1
"2016","bobnoname",1,1,1
"2016","bobobaby",33,58,61
"2016","boboce",1,1,1
"2016","bobokeeley",5,8,10
"2016","bobolson",2,33,49
"2016","bobonahill",22,49,56
"2016","bobowelch",1,1,1
"2016","bobpacholski",1,1,1
"2016","bobpacholski2",1,3,5
"2016","bobperkins",4,4,4
"2016","bobpie55",1,6,7
"2016","bobpine",1,1,1
"2016","bobr54",1,1,1
"2016","bobraystarker",3,4,4
"2016","bobreed",2,2,2
"2016","bobrich",1,1,1
"2016","bobroach",30,47,81
"2016","bobrood",2,11,11
"2016","bobrussell",2,2,2
"2016","bobsams",17,26,30
"2016","bobschmitz",1,2,2
"2016","bobsikeselementary",3,83,133
"2016","bobsimpson",2,2,2
"2016","bobspeeter",2,2,2
"2016","bobstevenson",2,0,2
"2016","bobthebiologist",7,8,8
"2016","bobthenaturalist",1,1,1
"2016","bobthomson",1,1,1
"2016","bobw_gwmn",2,2,2
"2016","bobwalsh",1,1,1
"2016","bobwardell",4,5,5
"2016","boby",3,4,4
"2016","bobyjoe",1,0,1
"2016","bocajacob",1,1,1
"2016","bocephus",1,1,1
"2016","bocfish",5,6,6
"2016","bockoshocko",1,1,1
"2016","bodenman",1,5,7
"2016","bodhidane",2,1,2
"2016","bodhidog",1,0,1
"2016","bodofzt",102,415,809
"2016","boettoenrico",1,1,1
"2016","bofa501",5,5,5
"2016","bog",1,1,1
"2016","bog_marsh",5,6,6
"2016","bogardjs",1,1,1
"2016","bogarthill",1,1,2
"2016","boggessa",2,5,7
"2016","bogman50",5,25,25
"2016","bogmyrtle",6,18,19
"2016","bogslogger",31,145,187
"2016","bogumila",3,3,3
"2016","bogwalker",26,38,43
"2016","bohemian_soul",7,6,7
"2016","bohemianspirit",3,3,3
"2016","bohn",4,6,6
"2016","bohyung",1,0,1
"2016","boiga13",4,4,4
"2016","boilingmatt",1,1,1
"2016","bojeereyes",3,3,5
"2016","bojesus",1,1,1
"2016","bok",6,9,9
"2016","boldlygrowhomestead",10,14,16
"2016","boletus_duende",1,1,1
"2016","boletusreticulatusamanitacae",1,1,1
"2016","bollyanna",8,62,69
"2016","bollymolly",5,8,8
"2016","bologaalexandru",6,14,14
"2016","bolorzul",1,2,2
"2016","bolotoved",5,11,11
"2016","bolsadehielo",1,1,1
"2016","boltz94",1,0,1
"2016","bombledmonk",1,1,1
"2016","bonahr",3,3,3
"2016","bonanza",5,5,5
"2016","bonasa",1,1,1
"2016","bondaley",1,1,1
"2016","bondiben",1,1,1
"2016","bonds",1,1,1
"2016","bone86",1,1,1
"2016","bonecutter",1,1,1
"2016","bones2",1,1,1
"2016","bonesthebaptist",2,2,2
"2016","boneu",4,6,6
"2016","bongkyu",1,2,2
"2016","bonitataylor",1,1,1
"2016","bonitaw",1,1,1
"2016","bonjours2",5,5,5
"2016","bonjourtami",1,1,1
"2016","bonne",1,4,8
"2016","bonnie10",1,1,1
"2016","bonnie12",1,1,1
"2016","bonnie18",1,1,1
"2016","bonnie3",1,1,1
"2016","bonnie7",3,3,3
"2016","bonnie_long",4,5,5
"2016","bonnieasy",1,1,1
"2016","bonniebetts",14,20,21
"2016","bonniecallahan",1,2,2
"2016","bonnieeamick",56,163,205
"2016","bonniekay",13,50,52
"2016","bonniekerrville",6,4,9
"2016","bonniemaccurdy",3,3,3
"2016","bonniemagnuson",1,0,1
"2016","bonniemurdock",5,4,5
"2016","bonniesavillednr",1,1,1
"2016","bonnieschulze",1,1,1
"2016","bonnieshoffner",2,3,7
"2016","bonniesview",2,2,2
"2016","bonniet",2,2,2
"2016","bonnieworkman",1,1,2
"2016","bonny",1,6,6
"2016","bontempfeline",1,1,1
"2016","bonufryc",1,1,1
"2016","bonxie",18,60,61
"2016","bonzai",15,36,36
"2016","boo123",1,3,5
"2016","boo5",7,8,8
"2016","booboo",24,52,54
"2016","boodogs",1,1,1
"2016","boohoola",1,1,1
"2016","boojuminstitute",1,9,12
"2016","book317",1,0,1
"2016","bookcentric",1,1,1
"2016","booker77",1,1,1
"2016","bookitosh",1,2,2
"2016","books",1,1,1
"2016","bookwood",4,4,4
"2016","bookworm91",1,71,90
"2016","boone1981",1,1,1
"2016","boonealoha",1,1,1
"2016","booneogden",7,19,20
"2016","boos4200",1,1,1
"2016","bootes",1,1,1
"2016","boothby",3,3,3
"2016","bootht99",35,36,47
"2016","bootsg",1,1,1
"2016","bopoku",1,1,1
"2016","boppyk43",6,3,7
"2016","bopryor",2,2,2
"2016","bor",37,60,63
"2016","boraginaceae",5,6,6
"2016","boraski",1,1,1
"2016","bordonaroj",1,1,1
"2016","borealbecca",5,8,8
"2016","borealenv",1,1,1
"2016","borealis",1,1,1
"2016","borealis12",1,6,36
"2016","borealtracks",4,8,13
"2016","borgfly",42,63,87
"2016","borghesio",5,19,19
"2016","boris3",2,7,7
"2016","borisbolshakov",56,110,135
"2016","borisdelahaie",43,66,78
"2016","borisgrozev",6,7,7
"2016","boriskofman",1,23,23
"2016","borislav1",1,0,1
"2016","borisoscar",1,2,2
"2016","borja-molina",5,13,13
"2016","borlasana",8,19,22
"2016","bormannbrett",2,4,4
"2016","bornases",10,13,13
"2016","bornwild",1,1,3
"2016","boromir",2,8,8
"2016","borregobriana",1,1,1
"2016","borsope",35,460,656
"2016","borysb",1,3,3
"2016","boschniakia",27,143,160
"2016","bosh",6,9,9
"2016","bosman",1,0,1
"2016","bospike",2,4,4
"2016","bosque",1,1,2
"2016","bosqueaaron",122,835,1029
"2016","bosquedeniebla",5,5,5
"2016","boss_team_four",1,9,9
"2016","bossloth",4,4,4
"2016","bossmancritter",1,3,3
"2016","bossmobes",2,1,2
"2016","bostonbethany",1,1,1
"2016","bostoncraig",1,2,2
"2016","bostonherbs",1,1,1
"2016","botaneek",93,967,1118
"2016","botanica",2,10,10
"2016","botanicalcrack",2,2,2
"2016","botanicalmoment",1,1,1
"2016","botanicaltreasures",15,57,63
"2016","botanicav",6,25,41
"2016","botanista",1,1,1
"2016","botanizer",4,4,4
"2016","botany08",9,39,43
"2016","botany500",1,1,1
"2016","botanybee",1,15,16
"2016","botanydave",6,13,13
"2016","botanydude80",1,1,1
"2016","botanygirl",126,709,1030
"2016","botanylicious",2,2,2
"2016","bothwellm",4,1,19
"2016","botresinsttx",2,49,142
"2016","botswanabugs",85,199,537
"2016","bottlecapphish",5,6,6
"2016","botto33",1,1,1
"2016","boubacarsissoko",1,2,6
"2016","boud1",2,102,149
"2016","bouhoub",9,20,20
"2016","boulderbean",15,15,16
"2016","boulderjules",1,0,1
"2016","boulton",1,32,34
"2016","bounce36",5,8,9
"2016","bouncecommander",10,12,13
"2016","bournewalsh",1,1,1
"2016","bouteloua",76,554,812
"2016","boutondor",1,42,45
"2016","boutside2day",20,83,126
"2016","bowerbird",4,13,13
"2016","bowersgarden",1,1,2
"2016","bowert21",1,0,1
"2016","bowhunter",1,1,1
"2016","bowikan",1,1,1
"2016","bowlegs28",1,0,1
"2016","bowmanrv",3,4,4
"2016","box543",3,3,3
"2016","boxedeagle",1,1,2
"2016","boxelderbug",1,1,1
"2016","boxeywow",1,1,1
"2016","boxturtle",1,1,1
"2016","boyajianmarcia",3,10,10
"2016","boyanov",4,4,4
"2016","boycedrummond",1,7,7
"2016","boyd2",1,1,1
"2016","boydtat",5,12,34
"2016","boyer2",2,2,2
"2016","boyera",1,5,5
"2016","boyergood",10,11,12
"2016","boyerlaw",2,5,6
"2016","boyetjar20",2,2,2
"2016","boyi",1,2,2
"2016","boylucas",1,1,1
"2016","boyonabike",2,4,5
"2016","boyscout567",5,5,5
"2016","boz",1,1,1
"2016","bozanamilincicbarthel",1,0,1
"2016","bpachecocolumbkille",2,3,3
"2016","bpalatucci",39,135,353
"2016","bparada",3,3,5
"2016","bpatterson1629",2,3,17
"2016","bpaul18",1,1,1
"2016","bpd08",1,14,36
"2016","bpdaly",2,2,2
"2016","bpearse",3,4,4
"2016","bpeck02",3,3,3
"2016","bperelka28",1,1,2
"2016","bperez94",5,4,5
"2016","bphedrick",8,9,19
"2016","bpiazza",1,2,3
"2016","bpk_soccer",3,6,6
"2016","bpkonline",3,3,3
"2016","bpolikoff",2,2,2
"2016","bpollack",11,21,24
"2016","bpollard62",1,1,1
"2016","bpomichter",5,18,30
"2016","bpowers",6,28,30
"2016","bpoynton",1,1,1
"2016","bpreisen",1,1,1
"2016","bprerak",3,4,5
"2016","bpricehall",2,2,2
"2016","bprowse",1,28,28
"2016","bpshorizon",1,0,1
"2016","bpthatruth",44,85,143
"2016","br3ntly",3,2,4
"2016","braandy",1,1,3
"2016","bracarp",1,1,1
"2016","braceface",1,1,1
"2016","brachiosaurus",1,1,1
"2016","brackin",1,9,14
"2016","brackturner",2,0,2
"2016","brad10",5,36,58
"2016","brad11",1,1,1
"2016","brad17",1,1,1
"2016","brad20",1,1,1
"2016","brad21",23,40,41
"2016","brad24",1,4,4
"2016","brad27",1,0,1
"2016","brad65",2,3,3
"2016","brad_mountford",2,2,2
"2016","bradauer",2,1,3
"2016","bradballinger",2,10,11
"2016","bradbarr",4,4,4
"2016","bradbrad",1,1,1
"2016","bradconnell",2,2,2
"2016","braddubbs",1,1,1
"2016","braden2",1,1,1
"2016","braden2436",1,2,2
"2016","braden5",2,1,2
"2016","braden_rachael",1,1,1
"2016","braden_stevenson",5,50,66
"2016","bradenhanson97",1,0,1
"2016","bradenlam",1,5,5
"2016","bradensing",15,17,19
"2016","bradenvigil",2,2,2
"2016","bradford2",1,0,1
"2016","bradford4",1,1,1
"2016","bradfordbr",2,8,9
"2016","bradgrimm",7,9,11
"2016","bradherring",1,8,10
"2016","bradhugg",1,1,2
"2016","bradical",16,20,26
"2016","bradjohnson",1,1,2
"2016","bradjoseph",3,3,3
"2016","bradkerr",6,4,9
"2016","bradleeg",2,3,3
"2016","bradley5",1,1,1
"2016","bradley6",1,1,1
"2016","bradley7",1,1,1
"2016","bradley8",4,4,4
"2016","bradley_curnow",7,3,12
"2016","bradleybartelme",3,10,12
"2016","bradleybrown",2,4,4
"2016","bradleybugman",28,73,80
"2016","bradleydeering",1,1,1
"2016","bradleyenglert",1,9,9
"2016","bradleyennisnpalc",1,1,1
"2016","bradleyfishes",13,21,23
"2016","bradleyistblod",1,3,3
"2016","bradleyjones",4,8,11
"2016","bradleykoch",1,3,4
"2016","bradleyl314f",2,4,6
"2016","bradleymclain",2,1,10
"2016","bradleymoore",3,3,4
"2016","bradleyrentz",2,5,5
"2016","bradleysaul",97,171,257
"2016","bradleysweger",1,0,3
"2016","bradleytb",1,2,2
"2016","bradlong",1,1,1
"2016","bradmag55",1,1,1
"2016","bradmalonedr",3,3,3
"2016","bradmm",1,1,1
"2016","bradmoon",64,227,299
"2016","bradnbev",7,1,7
"2016","bradp",3,3,3
"2016","bradpankonin",2,6,6
"2016","bradr98",1,1,1
"2016","bradrumble",57,115,133
"2016","brads",34,66,97
"2016","bradsimonian",2,3,3
"2016","bradsmith",2,2,2
"2016","bradtrex",8,16,19
"2016","bradwinckelmann",60,159,173
"2016","brady2",1,1,1
"2016","brady3",1,1,1
"2016","brady8lauber",1,1,1
"2016","brady_rowl",1,4,4
"2016","bradybiddy",5,5,5
"2016","bradyjross",29,29,58
"2016","bradykunkel",1,1,3
"2016","bradymegan",1,3,4
"2016","bradymh",29,47,61
"2016","bradyreed",11,11,11
"2016","bradyswenson",2,2,2
"2016","brae",2,2,2
"2016","brae2",1,2,2
"2016","braedanstewart",1,1,4
"2016","braedenmcnany",6,22,22
"2016","braggio22",2,39,40
"2016","braileytreyden",1,1,1
"2016","braille",1,1,1
"2016","braines",2,1,2
"2016","brainy0",1,1,1
"2016","brakyardgames",1,1,1
"2016","bramadiarya",27,104,122
"2016","brambi",1,1,1
"2016","brambillajoxel",3,4,6
"2016","bramble_and_vine",14,18,22
"2016","bramblehorn",2,2,2
"2016","bramerbrent",4,5,5
"2016","bramesposito",17,41,44
"2016","bramirez",8,29,30
"2016","bran9595",12,15,15
"2016","branch_lizard",1,18,18
"2016","branchbunch",1,1,1
"2016","branchings",2,8,8
"2016","brandan2",1,1,1
"2016","branded856",1,0,1
"2016","brandi",3,5,5
"2016","brandi10",1,1,1
"2016","brandi2",1,11,14
"2016","brandi4",1,1,1
"2016","brandi7",1,1,1
"2016","brandi8",1,1,1
"2016","brandibundy",4,8,12
"2016","brandie",1,1,1
"2016","brandik",2,2,2
"2016","brandistewart",1,1,1
"2016","brandiwelch",4,20,20
"2016","brando80111",3,6,11
"2016","brandodelaney",1,1,1
"2016","brandodf",1,1,1
"2016","brandon-bredo",41,80,95
"2016","brandon27",2,2,2
"2016","brandon28",6,28,39
"2016","brandon33",2,1,4
"2016","brandon35",2,21,40
"2016","brandon36",1,20,21
"2016","brandon38",4,9,9
"2016","brandon43",1,1,1
"2016","brandon48",2,2,2
"2016","brandon49",2,2,2
"2016","brandon51",6,8,8
"2016","brandon54",1,1,1
"2016","brandon57",2,3,3
"2016","brandon58",6,7,7
"2016","brandon60",12,15,16
"2016","brandon626",2,5,5
"2016","brandon67",1,1,1
"2016","brandon73",1,1,1
"2016","brandon74",8,12,12
"2016","brandon75",1,1,1
"2016","brandon78",2,2,2
"2016","brandon80",4,9,9
"2016","brandon81",1,1,1
"2016","brandon_b",4,6,6
"2016","brandon_bob",1,0,1
"2016","brandon_dietrich",5,5,6
"2016","brandona",5,5,5
"2016","brandonbonn",1,1,1
"2016","brandonbrown82",3,3,3
"2016","brandonburda",1,1,1
"2016","brandoncon205",1,1,1
"2016","brandoncorder",29,51,56
"2016","brandoncrapo",2,3,3
"2016","brandongrif",1,1,1
"2016","brandongriffin",2,3,4
"2016","brandongrubaugh",5,14,14
"2016","brandonh1",100,157,384
"2016","brandonhamms",6,10,10
"2016","brandonhealy",2,5,5
"2016","brandonhelm",1,1,1
"2016","brandonhodson",6,5,6
"2016","brandonint",3,40,68
